cluster_ids,ids,response
124,125938,'5'
38,32942,'4'
242,234558,'3'
334,332137,'3'
322,326971,'2'
76,84738,'2'
22,21221,'3'
333,330104,'1'
365,360605,'1'
252,248792,'2'
85,98109,'4'
256,247643,'1'
145,136987,'2'
296,294635,'1'
67,76153,'1'
284,278214,'1'
316,320685,'4'
17,13619,'2'
300,305423,'2'
50,58464,'3'
228,221736,'2'
6,11032,'1'
86,101751,'2'
358,350689,'2'
95,96943,'2'
155,139072,'1'
96,99703,'1'
318,329368,'1'
62,66987,'2'
150,143821,'1'
193,190211,'2'
356,344160,'1'
326,329186,'1'
13,6273,'1'
164,152501,'1'
297,303691,'2'
194,191733,'1'
139,129448,'1'
313,316766,'2'
377,382764,'1'
253,246495,'1'
55,60280,'1'
174,167481,'1'
279,281103,'2'
119,114151,'2'
176,162645,'1'
353,344217,'1'
225,220003,'2'
191,190058,'1'
48,51927,'2'
288,282058,'2'
79,85481,'2'
220,215113,'3'
192,187628,'2'
232,226110,'3'
68,74858,'3'
371,375223,'1'
177,170891,'1'
325,326033,'1'
299,301955,'2'
384,382288,'2'
26,19476,'1'
343,340037,'3'
357,349462,'1'
338,340711,'2'
37,27487,'2'
257,251718,'3'
181,173789,'2'
227,217199,'1'
335,341200,'1'
175,165557,'1'
319,326933,'1'
73,81492,'2'
214,213636,'2'
304,309308,'2'
63,68855,'3'
83,90795,'2'
53,65998,'1'
278,278818,'1'
93,97233,'2'
81,91673,'1'
167,150422,'1'
226,218162,'1'
146,133069,'1'
141,131828,'1'
352,346531,'3'
189,178663,'1'
168,158742,'3'
140,126660,'4'
123,118360,'2'
308,314183,'1'
230,224892,'2'
11,10276,'3'
108,111075,'2'
236,228445,'4'
349,340114,'1'
204,203153,'5'
111,111182,'2'
362,357925,'2'
122,114877,'1'
311,313032,'3'
229,227062,'2'
136,129237,'2'
355,344717,'2'
121,119898,'2'
339,341195,'2'
2,3519,'3'
272,272576,'2'
251,244405,'3'
9,10209,'2'
217,213983,'2'
280,277094,'4'
341,336392,'2'
323,324246,'3'
186,179921,'3'
56,60151,'1'
376,375194,'1'
255,249346,'2'
156,141276,'3'
276,280875,'3'
249,240842,'2'
128,121135,'3'
209,204598,'1'
342,339110,'2'
302,307405,'3'
254,246213,'1'
277,281548,'2'
106,111485,'3'
3,2757,'2'
382,378692,'1'
134,131223,'3'
97,97609,'4'
312,317488,'1'
374,375187,'1'
149,138833,'1'
49,57044,'2'
366,361458,'2'
35,24253,'3'
115,119568,'1'
281,278332,'5'
293,292766,'2'
231,223074,'1'
309,316005,'5'
80,93716,'2'
310,317819,'3'
237,233426,'2'
336,337824,'1'
120,118052,'1'
4,7313,'2'
328,332504,'3'
180,168155,'1'
324,329130,'1'
298,301290,'1'
159,146427,'2'
148,140217,'3'
16,12927,'1'
268,267263,'1'
344,340182,'1'
235,230299,'2'
182,169352,'2'
383,378965,'2'
347,337655,'2'
238,231120,'1'
184,174370,'1'
152,140045,'1'
31,27018,'1'
24,21220,'1'
196,192903,'1'
64,66968,'3'
69,77642,'2'
54,61770,'1'
1,1589,'2'
290,286548,'1'
223,218487,'1'
258,254686,'1'
369,365028,'1'
314,322857,'2'
126,122415,'2'
315,320985,'4'
262,268734,'2'
332,335676,'2'
327,328482,'2'
266,265242,'2'
219,210266,'3'
147,132206,'2'
190,183770,'1'
240,230645,'3'
94,100177,'1'
21,23759,'3'
210,209807,'1'
109,111083,'1'
234,230217,'2'
91,100164,'1'
105,103890,'1'
378,380128,'4'
135,127037,'1'
71,75190,'4'
246,235205,'2'
367,362550,'1'
282,279713,'2'
58,63302,'2'
330,332197,'1'
113,119815,'1'
51,59990,'1'
40,35300,'2'
221,213614,'2'
41,36704,'1'
154,142218,'1'
321,325207,'1'
270,266317,'1'
39,30216,'1'
166,155746,'3'
161,148091,'1'
33,26562,'1'
354,344826,'1'
89,101549,'2'
212,205505,'1'
127,121066,'2'
173,162842,'2'
34,26094,'2'
92,101279,'1'
171,159721,'2'
118,119699,'2'
243,239508,'3'
224,219613,'1'
170,157009,'3'
274,274425,'2'
269,265361,'3'
19,14093,'2'
46,47998,'1'
364,361774,'1'
241,229328,'1'
15,6459,'1'
375,373183,'3'
160,149728,'1'
75,89774,'3'
12,9100,'1'
142,129915,'1'
351,337461,'3'
195,190612,'1'
218,212188,'3'
368,363042,'4'
98,101019,'3'
294,299963,'3'
317,319568,'1'
197,194997,'2'
60,67369,'4'
179,170132,'4'
187,177529,'2'
340,340719,'2'
275,272358,'1'
10,7801,'2'
245,236532,'2'
104,104327,'4'
273,271488,'3'
132,121456,'3'
