sentences,cluster_ids,ids,wait_start,trial_sent_start,response,response_time
"'Con una magnitudine apparente di +3,84 è la dodicesima stella più brillante della costellazione.'",65,68783,9.42E-05,0.00031303,'2',1.423390172
'Nella settimana 8 fece registrare il primo intercetto stagionale nella vittoria sugli Atlanta Falcons.',17,21619,5.614228276,6.000050684,'3',1.024490274
"'Viardot assegnò per primo l''opera a Raffaello, seguito da Passavant, Morelli e Pulzky.'",23,25579,11.18220105,12.00005109,'3',1.838208212
'La prima descrizione nota di ipopituitarismo è stata fatta dal medico patologo tedesco Morris Simmonds.',121,120550,17.68307756,18.0000499,'2',1.305234099
'L’8 gennaio 2018 inizia la settima edizione sempre con la conduzione di Paolo Bonolis.',355,355430,23.51737011,24.00015487,'2',0.921306716
'Nel 2002 Accenture è stata premiata per la sua operazione di rebranding dalla Arthur W.',83,84440,28.95006747,30.00000478,'3',1.545115366
'Fu scelto nell''Amateur Draft del 1963 dai Toronto Maple Leafs in ventunesima posizione.',156,159039,35.79897837,36.00000529,'2',0.735215763
'Infatti l''edizione originale di D&D raccomandava al lettore il possesso di una copia Chainmail.',149,151201,40.51736149,42.00000673,'3',0.58808003
"'Distribuito dalla V-L-S-E, il film uscì nelle sale cinematografiche USA il 1o novembre 1915.'",147,146038,46.61829064,48.00000621,'1',1.288683388
"'Più a valle sbocca nel Cigüela, da sinistra, molto vicino agli Ojos del Guadiana.'",280,280187,53.39948848,54.00000424,'3',0.6792444
'Abelli è stato capogruppo di Forza Italia nel consiglio regionale della Lombardia dal 2005.',252,247212,58.68318042,60.00000659,'2',0.48472623
'By the Sad Sea Waves è un cortometraggio muto del 1917 diretto da Alfred J.',145,146536,64.51362741,66.00000478,'2',0.855404317
"'Conclusa la carriera di calciatore, ha intrapreso quella di allenatore nelle categorie dilettantistiche lombarde.'",301,304880,71.08342503,72.00000441,'2',0.75903323
'Questo è tuttavia l''unico capitolo in cui Lara non guida veicoli di alcun tipo.',375,374926,76.74728326,78.00000642,'3',1.812617208
"'Alla fine dell''anno avviene la defezione di Prezzolini, che si trasferisce a Roma.'",243,240966,83.81918706,84.00000605,'3',1.075760191
