cluster_ids,ids,response
303,300996,'1'
234,231711,'4'
90,94797,'5'
305,302671,'3'
244,244328,'3'
201,201094,'4'
55,54167,'5'
181,183987,'5'
142,141664,'1'
368,371454,'2'
161,164306,'4'
200,199805,'5'
74,75586,'2'
40,46370,'1'
76,74639,'2'
336,340722,'3'
248,246941,'5'
250,250407,'2'
154,154098,'3'
292,288214,'3'
321,320690,'1'
285,286168,'2'
333,334176,'5'
172,172120,'3'
382,381433,'4'
288,285081,'4'
7,8273,'5'
361,360599,'4'
174,173312,'4'
104,106840,'5'
294,293764,'4'
217,214057,'5'
272,270967,'5'
329,324737,'4'
72,74564,'3'
279,276352,'2'
49,52326,'2'
325,328714,'5'
52,51090,'4'
239,234134,'3'
306,303510,'5'
307,301080,'5'
19,22181,'5'
343,344851,'2'
324,325887,'3'
4,5566,'2'
184,189842,'5'
341,337903,'2'
210,208695,'5'
136,139024,'5'
34,39554,'5'
130,134823,'5'
197,201755,'5'
290,291428,'2'
264,258896,'5'
144,144631,'5'
122,122152,'4'
128,128022,'5'
111,113701,'1'
23,25579,'4'
199,200003,'3'
101,106656,'5'
16,18780,'5'
291,290022,'1'
281,277219,'3'
160,158314,'5'
376,374245,'5'
178,181388,'5'
296,297610,'2'
228,225351,'2'
320,321421,'5'
222,220533,'3'
198,202426,'4'
140,143723,'5'
356,356124,'5'
226,225952,'2'
190,197358,'3'
340,337801,'1'
89,94658,'2'
353,348235,'5'
233,230429,'5'
157,160773,'4'
112,118531,'4'
108,108700,'3'
92,93254,'4'
225,225850,'5'
309,310422,'3'
284,282905,'5'
334,331027,'4'
93,98506,'3'
247,249372,'3'
24,25757,'4'
345,347017,'5'
311,309124,'5'
273,273085,'4'
13,17025,'3'
82,89591,'1'
168,168701,'3'
208,205145,'5'
44,42957,'3'
360,358910,'5'
107,112884,'3'
220,216714,'5'
365,363383,'2'
316,312983,'5'
68,66347,'4'
63,60637,'5'
118,121123,'3'
375,374926,'5'
299,297409,'5'
124,130126,'5'
2,4317,'5'
115,114247,'5'
187,186697,'4'
230,231994,'5'
373,373915,'5'
362,365950,'4'
223,218296,'5'
286,283488,'4'
171,170821,'2'
206,208696,'2'
95,100002,'3'
36,39716,'3'
381,382181,'2'
251,250187,'4'
371,370838,'5'
143,146607,'5'
10,6748,'5'
156,159039,'4'
214,215833,'3'
310,307370,'2'
159,157738,'3'
289,287529,'3'
27,35224,'5'
43,45817,'5'
241,245685,'4'
120,125570,'5'
384,379910,'5'
308,309335,'4'
3,975,'1'
80,80876,'3'
58,54949,'5'
312,308313,'3'
99,107981,'5'
243,240966,'4'
267,264335,'5'
268,267289,'5'
261,259774,'4'
85,87586,'4'
69,70680,'4'
31,31262,'4'
224,223085,'3'
119,123522,'5'
148,148253,'2'
313,311874,'2'
337,339288,'3'
65,68783,'4'
39,43065,'4'
22,29269,'3'
141,143955,'5'
75,74697,'4'
6,4945,'5'
15,22930,'4'
265,259710,'5'
263,258469,'5'
185,188343,'5'
71,73125,'3'
25,25965,'5'
274,272889,'4'
176,178047,'3'
145,146536,'4'
332,332398,'5'
231,231272,'3'
216,215464,'3'
182,181908,'4'
364,360192,'5'
358,354206,'4'
378,373856,'5'
349,349483,'5'
271,273798,'5'
110,112553,'4'
207,209239,'4'
35,41627,'5'
298,296963,'5'
125,130678,'3'
9,9857,'1'
246,243446,'3'
46,51680,'5'
237,238794,'4'
133,134137,'2'
238,237999,'2'
229,228218,'4'
78,82891,'4'
270,264270,'4'
56,55580,'2'
105,108115,'3'
179,184453,'4'
149,151201,'3'
26,26185,'4'
14,15071,'5'
260,256087,'4'
338,338008,'4'
152,151360,'4'
245,241225,'5'
354,348182,'5'
266,263629,'5'
21,25271,'1'
70,70585,'2'
191,197578,'4'
193,197558,'2'
47,48769,'4'
114,117247,'5'
87,91446,'5'
146,145516,'4'
61,65305,'4'
37,41916,'4'
359,354929,'5'
215,213386,'5'
254,246219,'4'
202,208448,'5'
283,279151,'5'
326,325253,'1'
17,21619,'3'
32,33300,'3'
346,347444,'4'
203,209601,'3'
322,322798,'3'
295,296646,'1'
116,118574,'3'
86,89720,'4'
102,106903,'1'
242,241542,'2'
66,69371,'3'
62,60280,'3'
180,180344,'1'
275,273278,'5'
314,313573,'4'
304,301955,'4'
94,97941,'4'
33,40074,'3'
342,343025,'5'
59,60115,'5'
57,57855,'4'
257,256044,'3'
177,182025,'2'
297,299168,'1'
379,381238,'1'
113,117120,'5'
186,190101,'5'
258,255497,'3'
372,366937,'5'
262,258585,'4'
127,130302,'3'
134,136760,'5'
236,237894,'4'
166,165037,'3'
163,166881,'5'
48,51850,'4'
219,217896,'3'
189,192890,'5'
129,131874,'5'
103,104720,'3'
323,321016,'1'
293,291374,'5'
227,224691,'5'
276,270196,'4'
117,119373,'5'
8,6518,'5'
256,257938,'4'
175,174722,'3'
330,328110,'4'
335,334526,'5'
209,205505,'5'
205,205859,'2'
30,34567,'3'
318,319314,'2'
73,74179,'1'
377,375245,'4'
213,214815,'4'
211,211665,'4'
357,354161,'3'
269,269233,'5'
137,140755,'3'
194,195644,'4'
11,6195,'4'
350,350281,'3'
60,62794,'2'
366,360660,'5'
173,169410,'4'
367,370083,'3'
28,35875,'4'
255,247031,'4'
121,120550,'5'
139,138428,'4'
252,247212,'5'
126,130479,'4'
355,355430,'5'
45,49504,'1'
315,316656,'2'
383,378432,'3'
147,146038,'4'
370,371792,'3'
100,104063,'4'
155,156613,'5'
212,214802,'4'
327,328158,'3'
287,282532,'4'
328,324650,'4'
347,342144,'4'
301,304880,'5'
158,159661,'3'
96,101156,'1'
319,323775,'3'
138,142153,'2'
218,218537,'3'
348,345166,'3'
300,297634,'3'
67,71958,'4'
12,9555,'3'
109,112714,'5'
64,62888,'2'
249,248405,'4'
196,198878,'3'
317,313679,'5'
53,53645,'2'
164,166037,'4'
50,49566,'5'
192,192449,'4'
369,366511,'4'
91,93053,'5'
29,34271,'4'
97,96348,'5'
81,86750,'4'
169,170486,'2'
183,189748,'4'
132,132960,'3'
106,112894,'5'
88,93115,'3'
84,89302,'4'
195,195541,'2'
151,151677,'3'
20,21927,'3'
352,349018,'4'
153,152181,'4'
123,120264,'2'
331,332607,'5'
235,236120,'4'
83,84440,'3'
54,55957,'3'
79,78469,'4'
351,353168,'3'
363,365970,'2'
167,164509,'3'
204,207609,'2'
