cluster_ids,ids,response
315,320985,'3'
14,6331,'1'
131,124825,'1'
139,129448,'2'
64,66968,'1'
82,90472,'2'
358,350689,'1'
303,308443,'3'
174,167481,'1'
288,282058,'1'
221,213614,'1'
379,382285,'3'
22,21221,'1'
345,337337,'4'
110,108948,'1'
203,201966,'1'
361,359244,'1'
152,140045,'4'
5,6525,'3'
193,190211,'1'
265,266458,'1'
301,306097,'1'
29,19629,'1'
320,329406,'2'
157,146808,'5'
218,212188,'1'
127,121066,'1'
370,360182,'1'
56,60151,'1'
9,10209,'1'
63,68855,'1'
33,26562,'1'
201,202018,'4'
238,231120,'1'
68,74858,'1'
285,286741,'1'
182,169352,'1'
205,198358,'5'
166,155746,'5'
291,286864,'1'
147,132206,'1'
116,116304,'1'
380,381773,'1'
253,246495,'1'
256,247643,'1'
192,187628,'1'
102,102418,'1'
286,284647,'1'
53,65998,'1'
327,328482,'1'
58,63302,'1'
362,357925,'1'
176,162645,'1'
59,70438,'1'
6,11032,'2'
54,61770,'1'
99,101856,'1'
346,339192,'1'
367,362550,'1'
140,126660,'1'
130,122677,'1'
297,303691,'1'
273,271488,'1'
222,217321,'1'
322,326971,'1'
258,254686,'1'
97,97609,'1'
247,239906,'1'
278,278818,'1'
300,305423,'1'
76,84738,'1'
39,30216,'2'
153,138068,'1'
78,89210,'1'
206,203135,'1'
159,146427,'1'
1,1589,'1'
344,340182,'1'
228,221736,'1'
36,28048,'2'
156,141276,'2'
168,158742,'1'
328,332504,'2'
257,251718,'1'
32,25458,'1'
231,223074,'1'
263,265633,'1'
80,93716,'1'
326,329186,'1'
34,26094,'1'
307,309766,'1'
323,324246,'1'
369,365028,'1'
162,145920,'1'
215,214439,'1'
316,320685,'1'
280,277094,'1'
165,153879,'1'
271,274401,'1'
109,111083,'1'
180,168155,'1'
239,233266,'1'
17,13619,'1'
44,40127,'1'
226,218162,'1'
81,91673,'1'
94,100177,'1'
24,21220,'1'
123,118360,'1'
52,60597,'1'
360,359959,'1'
275,272358,'1'
365,360605,'1'
95,96943,'1'
295,299004,'1'
325,326033,'1'
254,246213,'1'
197,194997,'1'
341,336392,'1'
340,340719,'1'
137,130250,'1'
220,215113,'1'
219,210266,'1'
347,337655,'1'
141,131828,'3'
49,57044,'4'
51,59990,'1'
171,159721,'5'
175,165557,'1'
169,159175,'1'
338,340711,'1'
16,12927,'1'
8,10682,'1'
260,258437,'1'
200,202068,'1'
154,142218,'1'
88,97949,'1'
124,125938,'1'
87,99053,'1'
321,325207,'1'
217,213983,'1'
293,292766,'1'
188,175255,'1'
62,66987,'1'
233,228602,'3'
268,267263,'1'
336,337824,'1'
133,127824,'1'
65,69876,'1'
209,204598,'1'
134,131223,'1'
330,332197,'1'
126,122415,'1'
28,20280,'1'
382,378692,'5'
213,207592,'1'
383,378965,'1'
237,233426,'2'
106,111485,'1'
11,10276,'1'
189,178663,'1'
194,191733,'2'
173,162842,'5'
79,85481,'1'
230,224892,'2'
352,346531,'2'
45,36302,'1'
333,330104,'1'
184,174370,'1'
318,329368,'1'
317,319568,'1'
129,123793,'1'
356,344160,'1'
7,11427,'1'
50,58464,'1'
135,127037,'1'
107,110903,'1'
202,199623,'2'
67,76153,'1'
40,35300,'1'
178,168213,'2'
71,75190,'1'
18,13333,'1'
85,98109,'1'
117,114580,'1'
48,51927,'1'
90,98853,'1'
377,382764,'1'
255,249346,'1'
138,130845,'3'
37,27487,'1'
363,360599,'1'
354,344826,'1'
115,119568,'1'
292,288350,'1'
343,340037,'4'
55,60280,'1'
283,280075,'1'
234,230217,'5'
136,129237,'1'
248,241723,'1'
163,147945,'1'
84,90160,'1'
86,101751,'3'
73,81492,'1'
186,179921,'1'
207,201546,'1'
72,78030,'1'
375,373183,'4'
198,196530,'4'
179,170132,'1'
262,268734,'1'
302,307405,'1'
167,150422,'1'
269,265361,'1'
2,3519,'1'
314,322857,'1'
21,23759,'1'
105,103890,'1'
13,6273,'1'
242,234558,'4'
214,213636,'1'
266,265242,'1'
143,130292,'1'
308,314183,'1'
42,37254,'1'
195,190612,'1'
244,239687,'1'
190,183770,'1'
251,244405,'1'
384,382288,'1'
27,18102,'3'
151,141163,'4'
334,332137,'1'
311,313032,'2'
210,209807,'1'
161,148091,'1'
122,114877,'1'
41,36704,'1'
19,14093,'1'
208,206883,'1'
74,80876,'3'
249,240842,'1'
155,139072,'1'
75,89774,'1'
15,6459,'1'
132,121456,'4'
12,9100,'1'
224,219613,'1'
148,140217,'4'
70,72431,'1'
31,27018,'1'
3,2757,'1'
337,339327,'1'
331,332264,'1'
43,39742,'1'
92,101279,'1'
259,252410,'1'
350,338668,'4'
119,114151,'1'
61,67619,'1'
204,203153,'1'
372,373868,'1'
264,268083,'1'
26,19476,'1'
144,134906,'1'
108,111075,'1'
212,205505,'1'
150,143821,'1'
353,344217,'1'
306,308704,'1'
164,152501,'1'
96,99703,'1'
60,67369,'1'
101,105399,'1'
216,212005,'1'
324,329130,'1'
289,282504,'1'
368,363042,'1'
381,378128,'1'
118,119699,'1'
142,129915,'2'
91,100164,'1'
235,230299,'1'
149,138833,'1'
121,119898,'1'
246,235205,'1'
294,299963,'1'
281,278332,'5'
113,119815,'1'
199,200544,'1'
349,340114,'1'
366,361458,'1'
66,72726,'1'
261,262116,'1'
240,230645,'1'
312,317488,'1'
23,22950,'3'
93,97233,'1'
46,47998,'3'
77,84440,'1'
20,22228,'1'
145,136987,'1'
69,77642,'4'
277,281548,'1'
10,7801,'1'
282,279713,'1'
290,286548,'1'
329,335598,'1'
232,226110,'1'
355,344717,'1'
25,19451,'1'
183,175416,'1'
296,294635,'1'
304,309308,'1'
236,228445,'5'
272,272576,'1'
98,101019,'1'
125,122755,'1'
313,316766,'1'
351,337461,'1'
211,208512,'1'
276,280875,'1'
146,133069,'1'
371,375223,'1'
103,107804,'1'
225,220003,'1'
287,282085,'5'
357,349462,'1'
223,218487,'1'
298,301290,'1'
128,121135,'1'
250,242438,'1'
187,177529,'1'
120,118052,'1'
319,326933,'1'
274,274425,'1'
181,173789,'1'
339,341195,'1'
364,361774,'1'
378,380128,'3'
310,317819,'5'
227,217199,'1'
35,24253,'1'
376,375194,'1'
342,339110,'1'
305,309461,'1'
38,32942,'1'
191,190058,'1'
284,278214,'1'
196,192903,'4'
185,174202,'1'
299,301955,'3'
57,62233,'1'
270,266317,'1'
83,90795,'1'
104,104327,'1'
47,53064,'1'
332,335676,'1'
241,229328,'1'
243,239508,'1'
309,316005,'1'
4,7313,'1'
172,166000,'1'
111,111182,'1'
100,99235,'1'
373,376808,'5'
348,339191,'1'
229,227062,'2'
335,341200,'1'
170,157009,'1'
279,281103,'1'
158,149666,'1'
160,149728,'1'
374,375187,'1'
245,236532,'1'
89,101549,'1'
114,114050,'3'
267,269908,'1'
177,170891,'1'
359,359527,'1'
112,113281,'1'
30,18633,'1'
252,248792,'5'
